"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29"
"9330020.00",2700.00,-1.00,2726.00,912.00,1937.80,1.39,815.00,295.00,520.00,6.80,815.00,655.00,160.00,0.00,815.00,1910.00,905.00,80.00,235.00,1280.00,470.00,160.00,53.40,2.70,2020.00,2020.00,1940.00,35456.00,52.10
"9330021.00",3684.00,-6.90,3955.00,1370.00,1666.60,2.21,1190.00,25.00,1165.00,9.00,1190.00,975.00,210.00,0.00,1190.00,2965.00,1555.00,140.00,270.00,2005.00,670.00,290.00,49.90,3.00,3105.00,3110.00,2915.00,46528.00,41.80
"9330022.00",3062.00,-3.60,3177.00,1792.00,9592.70,0.32,1700.00,605.00,1100.00,4.20,1700.00,595.00,1110.00,0.00,1700.00,2840.00,1290.00,85.00,470.00,1930.00,625.00,285.00,46.30,1.80,2790.00,2795.00,2655.00,33168.00,50.30
"9330023.00",4227.00,-2.90,4354.00,1558.00,3521.30,1.20,1375.00,45.00,1325.00,7.90,1370.00,1070.00,305.00,0.00,1370.00,3360.00,1815.00,110.00,330.00,2320.00,735.00,300.00,55.80,3.00,3395.00,3400.00,3200.00,39111.00,42.70
"9330024.00",5787.00,-2.80,5951.00,2241.00,3399.50,1.70,1985.00,65.00,1915.00,8.20,1985.00,1620.00,365.00,0.00,1985.00,4815.00,2695.00,120.00,515.00,3425.00,1005.00,385.00,52.40,2.90,4815.00,4815.00,4525.00,42317.00,40.80
"9330025.00",7420.00,0.10,7413.00,2993.00,3730.10,1.99,2685.00,270.00,2410.00,7.00,2685.00,1955.00,730.00,0.00,2685.00,6040.00,3180.00,190.00,695.00,4230.00,1190.00,615.00,53.40,2.70,6065.00,6065.00,5680.00,37262.00,40.90
"9330026.00",4675.00,-4.80,4913.00,1926.00,3712.10,1.26,1770.00,125.00,1640.00,7.10,1765.00,1280.00,485.00,0.00,1770.00,4025.00,1900.00,100.00,520.00,2630.00,985.00,410.00,52.40,2.70,3995.00,3995.00,3780.00,33554.00,42.40
"9330027.01",4074.00,-1.70,4145.00,1561.00,3203.10,1.27,1475.00,435.00,1040.00,6.90,1470.00,1265.00,205.00,0.00,1475.00,3560.00,1615.00,140.00,380.00,2235.00,905.00,415.00,48.00,2.80,3415.00,3415.00,3220.00,32550.00,43.30
"9330027.02",3787.00,-6.00,4027.00,1541.00,3675.60,1.03,1365.00,675.00,690.00,6.00,1370.00,925.00,445.00,0.00,1365.00,3015.00,1490.00,160.00,315.00,2010.00,680.00,330.00,45.90,2.60,3065.00,3065.00,2790.00,29376.00,42.00
"9330028.00",3063.00,-1.70,3116.00,1284.00,2077.30,1.47,1155.00,160.00,990.00,7.20,1155.00,720.00,440.00,0.00,1155.00,2550.00,1315.00,105.00,335.00,1850.00,550.00,145.00,63.30,2.60,2610.00,2610.00,2510.00,40811.00,41.30
"9330029.00",6798.00,4.40,6512.00,3011.00,4526.90,1.50,2815.00,805.00,2010.00,5.30,2810.00,1605.00,1205.00,0.00,2815.00,5670.00,2915.00,170.00,890.00,4135.00,1065.00,470.00,64.70,2.30,5505.00,5500.00,5305.00,43215.00,40.90
"9330030.00",6896.00,4.00,6629.00,2772.00,4734.60,1.46,2595.00,280.00,2320.00,6.00,2600.00,1610.00,985.00,0.00,2595.00,5865.00,2530.00,185.00,850.00,3800.00,1375.00,695.00,66.90,2.70,5745.00,5745.00,5575.00,37818.00,39.30
"9330031.01",6156.00,8.80,5660.00,2805.00,6854.50,0.90,2525.00,245.00,2275.00,5.50,2525.00,1290.00,1235.00,0.00,2525.00,5260.00,2780.00,110.00,650.00,3700.00,1075.00,485.00,71.80,2.40,5185.00,5185.00,5030.00,42394.00,38.70
"9330031.02",4621.00,-0.80,4657.00,1962.00,6664.30,0.69,1800.00,350.00,1455.00,5.40,1800.00,1055.00,740.00,0.00,1800.00,3830.00,1390.00,125.00,585.00,2390.00,865.00,575.00,67.90,2.60,3905.00,3900.00,3795.00,35072.00,38.40
"9330032.00",9098.00,10.30,8249.00,3901.00,7324.10,1.24,3620.00,1095.00,2525.00,5.00,3615.00,2000.00,1620.00,0.00,3620.00,7720.00,2740.00,205.00,1165.00,4540.00,1930.00,1245.00,70.50,2.50,7770.00,7770.00,7555.00,32998.00,38.70
"9330033.01",5187.00,11.70,4643.00,2072.00,7603.30,0.68,1930.00,385.00,1540.00,5.60,1930.00,1270.00,660.00,0.00,1930.00,4515.00,1550.00,135.00,665.00,2615.00,1145.00,755.00,70.10,2.70,4375.00,4375.00,4230.00,33619.00,39.20
