"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29"
"5350402.05",2005.00,-6.20,2137.00,752.00,1412.70,1.42,700.00,75.00,625.00,8.60,700.00,680.00,20.00,0.00,700.00,1780.00,880.00,75.00,185.00,1190.00,410.00,185.00,54.50,2.80,1765.00,1760.00,1700.00,46635.00,47.40
"5350402.06",6031.00,3.30,5840.00,2468.00,3354.30,1.80,2395.00,690.00,1705.00,5.40,2390.00,1335.00,1060.00,0.00,2395.00,5240.00,1970.00,185.00,800.00,3180.00,1290.00,775.00,55.50,2.50,5225.00,5225.00,4955.00,25984.00,43.40
"5350402.07",2054.00,-3.60,2130.00,764.00,1594.50,1.29,760.00,130.00,630.00,7.10,755.00,665.00,95.00,0.00,760.00,1710.00,645.00,50.00,320.00,1100.00,435.00,170.00,58.20,2.70,1750.00,1750.00,1670.00,38997.00,44.20
"5350402.08",6194.00,-3.90,6446.00,2312.00,3421.00,1.81,2270.00,965.00,1305.00,6.50,2275.00,2015.00,255.00,0.00,2275.00,5465.00,2680.00,215.00,715.00,3760.00,1250.00,450.00,52.60,2.70,5465.00,5465.00,5225.00,31607.00,47.10
"5350402.09",3699.00,-1.20,3744.00,1496.00,2374.20,1.56,1460.00,245.00,1215.00,6.40,1460.00,970.00,495.00,0.00,1465.00,3245.00,1300.00,120.00,560.00,2105.00,830.00,315.00,59.30,2.50,3165.00,3165.00,3010.00,35701.00,44.90
"5350402.1",3632.00,-2.50,3725.00,1438.00,3527.20,1.03,1405.00,820.00,580.00,5.90,1405.00,1210.00,195.00,0.00,1405.00,3065.00,1440.00,90.00,480.00,2100.00,710.00,260.00,67.60,2.60,3085.00,3085.00,2960.00,36279.00,41.20
"5350402.12",5937.00,33.00,4464.00,3054.00,1409.10,4.21,2905.00,2520.00,385.00,3.70,2905.00,2155.00,750.00,0.00,2905.00,5380.00,2290.00,200.00,780.00,3405.00,1340.00,640.00,59.40,2.00,5370.00,5370.00,5145.00,23680.00,42.80
"5350402.13",4965.00,-5.70,5264.00,1592.00,1567.50,3.17,1575.00,0.00,1575.00,8.90,1580.00,1535.00,40.00,0.00,1575.00,4335.00,2465.00,160.00,505.00,3200.00,760.00,375.00,59.30,3.20,4335.00,4330.00,4175.00,44437.00,45.10
"5350403.01",7585.00,-6.90,8143.00,2195.00,1835.80,4.13,2155.00,15.00,2140.00,8.30,2155.00,1850.00,300.00,0.00,2150.00,6565.00,2585.00,195.00,885.00,3800.00,1785.00,980.00,57.30,3.50,6565.00,6570.00,6215.00,27264.00,41.50
"5350403.04",4330.00,1.70,4257.00,1271.00,2070.00,2.09,1230.00,25.00,1205.00,6.80,1235.00,1200.00,35.00,0.00,1230.00,3530.00,1565.00,125.00,440.00,2190.00,825.00,515.00,59.70,3.50,3510.00,3505.00,3315.00,30421.00,38.60
"5350403.05",4155.00,22.40,3395.00,1308.00,1007.20,4.13,1285.00,45.00,1240.00,8.10,1285.00,1205.00,80.00,0.00,1285.00,3230.00,1680.00,90.00,365.00,2240.00,680.00,310.00,60.20,3.30,3220.00,3225.00,3015.00,42133.00,37.20
"5350403.07",12001.00,66.20,7222.00,3621.00,5154.40,2.33,3545.00,60.00,3485.00,6.60,3545.00,3300.00,240.00,0.00,3545.00,9470.00,3615.00,295.00,1425.00,5540.00,2275.00,1655.00,60.70,3.40,9470.00,9470.00,8790.00,26479.00,36.50
