"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29"
"5370212.00",1594.00,5.00,1518.00,750.00,3157.70,0.50,770.00,140.00,630.00,6.40,770.00,490.00,280.00,0.00,770.00,1440.00,425.00,25.00,350.00,870.00,375.00,195.00,63.90,2.20,1380.00,1385.00,1350.00,43264.00,43.90
"5370213.00",3814.00,2.90,3707.00,2250.00,4763.90,0.80,2035.00,430.00,1605.00,5.00,2040.00,745.00,1290.00,0.00,2040.00,3360.00,1155.00,65.00,740.00,2145.00,850.00,355.00,58.60,1.80,3445.00,3445.00,3395.00,40768.00,51.30
"5370214.00",2621.00,2.30,2561.00,1201.00,2438.10,1.08,1205.00,205.00,1000.00,6.10,1205.00,805.00,395.00,0.00,1205.00,2365.00,685.00,40.00,560.00,1440.00,615.00,310.00,60.50,2.20,2305.00,2310.00,2270.00,37184.00,46.70
"5370215.00",2727.00,-0.80,2748.00,1333.00,3751.50,0.73,1245.00,165.00,1080.00,5.80,1245.00,620.00,625.00,0.00,1240.00,2235.00,600.00,85.00,520.00,1365.00,575.00,295.00,61.50,2.10,2345.00,2340.00,2290.00,38349.00,44.10
"5370216.00",4097.00,0.80,4065.00,1504.00,1882.60,2.18,1475.00,45.00,1430.00,8.90,1475.00,1360.00,115.00,0.00,1480.00,3370.00,1545.00,95.00,550.00,2345.00,700.00,320.00,60.80,2.80,3350.00,3350.00,3225.00,57125.00,43.10
"5370217.01",5159.00,-0.80,5199.00,2452.00,2352.40,2.19,2445.00,655.00,1785.00,5.60,2445.00,1090.00,1355.00,0.00,2445.00,4445.00,790.00,105.00,1205.00,2370.00,1295.00,785.00,55.80,2.00,4385.00,4385.00,4260.00,32559.00,49.40
"5370217.02",3615.00,1.30,3568.00,1394.00,1655.00,2.18,1365.00,360.00,1005.00,7.60,1370.00,1280.00,85.00,0.00,1370.00,2895.00,860.00,85.00,685.00,1780.00,855.00,265.00,58.40,2.50,2955.00,2955.00,2880.00,43894.00,46.80
"5370218.00",6991.00,1.90,6863.00,2704.00,1598.40,4.37,2690.00,230.00,2455.00,6.90,2685.00,2130.00,560.00,0.00,2690.00,5680.00,1630.00,120.00,1455.00,3505.00,1450.00,725.00,64.80,2.60,5680.00,5685.00,5485.00,41892.00,41.00
"5370219.00",4615.00,1.50,4549.00,1624.00,1946.00,2.37,1580.00,0.00,1580.00,8.90,1580.00,1510.00,65.00,0.00,1585.00,3770.00,1580.00,90.00,715.00,2555.00,775.00,445.00,60.60,2.90,3790.00,3790.00,3635.00,52208.00,43.00
"5370220.00",6176.00,1.00,6113.00,2637.00,3422.60,1.80,2545.00,735.00,1810.00,6.30,2545.00,1740.00,810.00,0.00,2545.00,4860.00,1320.00,160.00,1050.00,2850.00,1410.00,595.00,55.20,2.20,4980.00,4980.00,4825.00,39275.00,50.40
"5370221.00",3107.00,1.30,3066.00,1175.00,2720.40,1.14,1180.00,75.00,1110.00,7.80,1180.00,1135.00,50.00,0.00,1185.00,2740.00,755.00,45.00,670.00,1660.00,770.00,315.00,65.80,2.70,2620.00,2620.00,2530.00,41152.00,43.20
"5370222.01",0.00,-100.00,5.00,0.00,0.00,1.93,,,,,,,,,,,,,,,,,,,,,,,
