"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29"
"2050122.03",3262.00,-3.20,3369.00,1358.00,84.20,38.75,1290.00,0.00,1285.00,7.80,1290.00,1230.00,60.00,0.00,1290.00,2900.00,480.00,55.00,695.00,1530.00,840.00,530.00,61.20,2.50,2880.00,2880.00,2785.00,37476.00,45.20
"2050122.04",4189.00,-3.00,4320.00,1561.00,1195.30,3.50,1535.00,0.00,1535.00,7.80,1535.00,1365.00,165.00,0.00,1535.00,3375.00,840.00,80.00,855.00,2035.00,870.00,470.00,68.10,2.70,3415.00,3420.00,3270.00,44217.00,37.90
"2050122.05",3191.00,-5.10,3363.00,1360.00,2661.40,1.20,1340.00,120.00,1220.00,7.10,1340.00,990.00,355.00,0.00,1345.00,2665.00,360.00,50.00,815.00,1505.00,730.00,430.00,67.40,2.40,2615.00,2610.00,2515.00,37107.00,40.50
"2050123.01",2142.00,-2.30,2192.00,900.00,47.50,45.11,840.00,0.00,845.00,7.70,845.00,760.00,80.00,0.00,845.00,1760.00,555.00,85.00,405.00,1210.00,380.00,175.00,63.10,2.50,1820.00,1820.00,1760.00,43840.00,43.60
"2050123.02",3970.00,-5.70,4209.00,1627.00,303.60,13.08,1515.00,40.00,1480.00,8.30,1515.00,1210.00,305.00,0.00,1515.00,3260.00,1445.00,60.00,530.00,2200.00,725.00,330.00,61.30,2.60,3335.00,3335.00,3195.00,43088.00,42.60
"2050123.04",9580.00,34.40,7130.00,4238.00,2447.20,3.91,3990.00,730.00,3265.00,6.20,3990.00,1955.00,2035.00,0.00,3990.00,7995.00,3220.00,300.00,1575.00,5550.00,1600.00,845.00,57.60,2.40,7940.00,7940.00,7505.00,40813.00,41.30
"2050123.05",3634.00,-1.10,3675.00,1593.00,1874.30,1.94,1545.00,220.00,1325.00,6.90,1545.00,1040.00,500.00,0.00,1545.00,3080.00,1180.00,100.00,620.00,2045.00,715.00,315.00,61.30,2.40,3000.00,3000.00,2875.00,42391.00,41.10
"2050123.06",2801.00,-2.80,2881.00,1145.00,1648.20,1.70,1120.00,175.00,950.00,7.50,1120.00,870.00,250.00,0.00,1125.00,2285.00,1050.00,50.00,350.00,1560.00,525.00,205.00,67.20,2.50,2335.00,2335.00,2215.00,45184.00,41.00
"2050130.03",5372.00,7.50,4997.00,1869.00,257.10,20.89,1810.00,0.00,1810.00,8.70,1815.00,1625.00,185.00,0.00,1815.00,4240.00,1375.00,140.00,955.00,2790.00,965.00,485.00,69.50,3.00,4240.00,4245.00,4000.00,48243.00,38.10
"2050130.04",3824.00,2.20,3741.00,1431.00,178.30,21.45,1390.00,10.00,1390.00,8.00,1390.00,1245.00,145.00,0.00,1395.00,3085.00,830.00,75.00,740.00,1980.00,705.00,395.00,67.10,2.70,3080.00,3075.00,2925.00,45568.00,39.20
"2050130.05",0.00,,0.00,0.00,0.00,3.97,,,,,,,,,,,,,,,,,,,,,,,
"2050130.06",8487.00,0.30,8460.00,3206.00,69.90,121.50,3105.00,10.00,3105.00,7.60,3105.00,2915.00,190.00,0.00,3110.00,6775.00,1145.00,175.00,1775.00,3905.00,1750.00,1115.00,64.80,2.70,6770.00,6775.00,6455.00,40570.00,39.10
"2050131.01",4945.00,-3.00,5096.00,1916.00,1976.80,2.50,1940.00,15.00,1925.00,7.50,1940.00,1605.00,340.00,0.00,1940.00,4170.00,675.00,75.00,1075.00,2210.00,1215.00,735.00,63.70,2.60,4095.00,4095.00,3930.00,37010.00,39.40
"2050131.02",4069.00,-4.30,4253.00,1808.00,1769.60,2.30,1710.00,10.00,1695.00,6.60,1710.00,1325.00,385.00,0.00,1710.00,3465.00,535.00,35.00,765.00,1670.00,1110.00,685.00,58.40,2.30,3540.00,3535.00,3420.00,32144.00,44.90
"2050131.03",6101.00,0.60,6065.00,2626.00,1028.20,5.93,2495.00,75.00,2425.00,6.50,2500.00,1650.00,850.00,0.00,2495.00,5015.00,605.00,80.00,1310.00,2420.00,1515.00,1075.00,64.80,2.40,5015.00,5015.00,4835.00,32835.00,39.30
"2050131.04",3313.00,0.90,3285.00,1408.00,714.00,4.64,1380.00,10.00,1375.00,6.70,1380.00,945.00,435.00,0.00,1380.00,2865.00,450.00,45.00,720.00,1545.00,775.00,545.00,60.80,2.40,2840.00,2835.00,2740.00,33720.00,45.00
"2050131.05",3509.00,-5.50,3713.00,1362.00,745.40,4.71,1335.00,0.00,1330.00,7.90,1335.00,1075.00,260.00,0.00,1335.00,2945.00,465.00,65.00,720.00,1540.00,995.00,415.00,62.60,2.60,2970.00,2970.00,2860.00,37146.00,41.90
"2050132.03",6146.00,13.20,5428.00,2331.00,1448.10,4.24,2295.00,10.00,2285.00,7.30,2295.00,1950.00,345.00,0.00,2295.00,4910.00,815.00,105.00,1460.00,2820.00,1370.00,720.00,70.90,2.70,4910.00,4905.00,4680.00,42257.00,36.90
"2050132.04",5930.00,9.50,5414.00,2128.00,185.80,31.92,2095.00,0.00,2085.00,7.80,2095.00,1975.00,115.00,0.00,2095.00,4770.00,765.00,80.00,1210.00,2615.00,1365.00,790.00,70.00,2.80,4770.00,4770.00,4565.00,42089.00,37.60
"2050132.06",7185.00,46.40,4907.00,2464.00,142.60,50.39,2365.00,50.00,2315.00,8.10,2365.00,1980.00,385.00,0.00,2365.00,5525.00,2275.00,115.00,940.00,3720.00,1065.00,740.00,68.70,3.00,5475.00,5475.00,5160.00,50432.00,36.90
